option,text
RothIRA2b,"<h4>RothIRA2b</h4>

<p>The <strong>RothIRA</strong> series all model pension reforms that include an employer mandate for firms that do not currently provide pension coverage to workers. These mandated employer plans (MEP) do not include employer contributions and include automatic enrollment. Investments are made in after-tax dollars and paid out tax free. The following scenarios vary the minimum firm size, the default contribution amount, the assumed share of workers that choose the default investment, whether they include auto escalation, and various other provisions including reenrollment, cash-out restrictions, contribution limits, and investment portfolio limits. </p>

<p>The <strong>RothIRA2</strong> series all assume a 3 percent default contribution rate.</p>

<ul>
<li>Beginning in 2020, mandate Roth IRA plan with automatic enrollment and 3 percent default investment in target-date plan.</li>
<li>Ninety percent of participants take default.</li>
<li>Firms with 10 or more workers.</li>
<li>Apply Roth adjusted gross income limits.</li>
<li>Apply Roth contribution limits.</li>
</ul>"
RothIRA2c,"<h4>RothIRA2c</h4>

<p>The <strong>RothIRA</strong> series all model pension reforms that include an employer mandate for firms that do not currently provide pension coverage to workers. These mandated employer plans (MEP) do not include employer contributions and include automatic enrollment. Investments are made in after-tax dollars and paid out tax free. The following scenarios vary the minimum firm size, the default contribution amount, the assumed share of workers that choose the default investment, whether they include auto escalation, and various other provisions including reenrollment, cash-out restrictions, contribution limits, and investment portfolio limits. </p>

<p>The <strong>RothIRA2</strong> series all assume a 3 percent default contribution rate.</p>

<ul>
<li>Beginning in 2020, mandate Roth IRA plan with automatic enrollment and 3 percent default investment in target-date plan.</li>
<li>Sixty percent of MEP participants take default.</li>
<li>Firms with 1 or more workers.</li>
<li>Apply Roth adjusted gross income limits.</li>
<li>Apply Roth contribution limits.</li>
</ul>"
RothIRA2d,"<h4>RothIRA2d</h4>

<p>The <strong>RothIRA</strong> series all model pension reforms that include an employer mandate for firms that do not currently provide pension coverage to workers. These mandated employer plans (MEP) do not include employer contributions and include automatic enrollment. Investments are made in after-tax dollars and paid out tax free. The following scenarios vary the minimum firm size, the default contribution amount, the assumed share of workers that choose the default investment, whether they include auto escalation, and various other provisions including reenrollment, cash-out restrictions, contribution limits, and investment portfolio limits. </p>

<p>The <strong>RothIRA2</strong> series all assume a 3 percent default contribution rate.</p>

<ul>
<li>Beginning in 2020, mandate Roth IRA plan with automatic enrollment and 3 percent default investment in target-date plan.</li>
<li>Sixty percent of MEP participants take default.</li>
<li>Firms with 25 or more workers.</li>
<li>Apply Roth adjusted gross income limits.</li>
<li>Apply Roth contribution limits.</li>
</ul>"
RothIRA2e,"<h4>RothIRA2e</h4>

<p>The <strong>RothIRA</strong> series all model pension reforms that include an employer mandate for firms that do not currently provide pension coverage to workers. These mandated employer plans (MEP) do not include employer contributions and include automatic enrollment. Investments are made in after-tax dollars and paid out tax free. The following scenarios vary the minimum firm size, the default contribution amount, the assumed share of workers that choose the default investment, whether they include auto escalation, and various other provisions including reenrollment, cash-out restrictions, contribution limits, and investment portfolio limits. </p>

<p>The <strong>RothIRA2</strong> series all assume a 3 percent default contribution rate.</p>

<ul>
<li>Beginning in 2020, mandate Roth IRA plan with automatic enrollment and 3 percent default investment in target-date plan.</li>
<li>Ninety percent of MEP participants take default.</li>
<li>Firms with 25 or more workers.</li>
<li>Apply Roth adjusted gross income limits.</li>
<li>Apply Roth contribution limits.</li>
</ul>"
RothIRA2f,"<h4>RothIRA2f</h4>

<p>The <strong>RothIRA</strong> series all model pension reforms that include an employer mandate for firms that do not currently provide pension coverage to workers. These mandated employer plans (MEP) do not include employer contributions and include automatic enrollment. Investments are made in after-tax dollars and paid out tax free. The following scenarios vary the minimum firm size, the default contribution amount, the assumed share of workers that choose the default investment, whether they include auto escalation, and various other provisions including reenrollment, cash-out restrictions, contribution limits, and investment portfolio limits. </p>

<p>The <strong>RothIRA2</strong> series all assume a 3 percent default contribution rate.</p>

<ul>
<li>Beginning in 2020, mandate Roth IRA plan with automatic enrollment and 3 percent default investment in Thrift Savings Plan G-Fund</li>
<li>Ninety percent of MEP participants take default.</li>
<li>Firms with 25 or more workers.</li>
<li>Apply Roth adjusted gross income limits.</li>
<li>Apply Roth contribution limits.</li>
</ul>"
RothIRA2g,"<h4>RothIRA2g</h4>

<p>The <strong>RothIRA</strong> series all model pension reforms that include an employer mandate for firms that do not currently provide pension coverage to workers. These mandated employer plans (MEP) do not include employer contributions and include automatic enrollment. Investments are made in after-tax dollars and paid out tax free. The following scenarios vary the minimum firm size, the default contribution amount, the assumed share of workers that choose the default investment, whether they include auto escalation, and various other provisions including reenrollment, cash-out restrictions, contribution limits, and investment portfolio limits. </p>

<p>The <strong>RothIRA2</strong> series all assume a 3 percent default contribution rate.</p>

<ul>
<li>Beginning in 2020, mandate Roth IRA plan with automatic enrollment and 3 percent default investment in target-date plan.</li>
<li>Sixty percent of MEP participants take default.</li>
<li>Firms with 10 or more workers. </li>
<li>No Roth adjusted gross income limits.</li>
<li>Use 401(k) contribution limits</li>
</ul>"
RothIRA2nocashout,"<h4>RothIRA2nocashout</h4>

<p>The <strong>RothIRA</strong> series all model pension reforms that include an employer mandate for firms that do not currently provide pension coverage to workers. These mandated employer plans (MEP) do not include employer contributions and include automatic enrollment. Investments are made in after-tax dollars and paid out tax free. The following scenarios vary the minimum firm size, the default contribution amount, the assumed share of workers that choose the default investment, whether they include auto escalation, and various other provisions including reenrollment, cash-out restrictions, contribution limits, and investment portfolio limits. </p>

<p>The <strong>RothIRA2</strong> series all assume a 3 percent default contribution rate.</p>

<ul>
<li>Beginning in 2020, mandate Roth IRA plan with automatic enrollment and 3 percent default investment in target-date plan. </li>
<li>Sixty percent of MEP participants take default. </li>
<li>Firms with 10 or more workers. </li>
<li>Apply Roth adjusted gross income limits. </li>
<li>Apply Roth contribution limits.</li>
<li>No cashouts from MEP plans.</li>
</ul>"
RothIRA2reenroll,"<h4>RothIRA2reenroll</h4>

<p>The <strong>RothIRA</strong> series all model pension reforms that include an employer mandate for firms that do not currently provide pension coverage to workers. These mandated employer plans (MEP) do not include employer contributions and include automatic enrollment. Investments are made in after-tax dollars and paid out tax free. The following scenarios vary the minimum firm size, the default contribution amount, the assumed share of workers that choose the default investment, whether they include auto escalation, and various other provisions including reenrollment, cash-out restrictions, contribution limits, and investment portfolio limits. </p>

<p>The <strong>RothIRA2</strong> series all assume a 3 percent default contribution rate.</p>

<ul>
<li>Beginning in 2020, mandate Roth IRA plan with automatic enrollment and 3 percent default investment in target-date plan. </li>
<li>Sixty percent of MEP participants take default. </li>
<li>Firms with 10 or more workers. </li>
<li>Apply Roth adjusted gross income limits. </li>
<li>Apply Roth contribution limits.</li>
<li>Automatically reenroll workers annually.</li>
</ul>"
RothIRA3,"<h4>RothIRA3</h4>

<p>The <strong>RothIRA</strong> series all model pension reforms that include an employer mandate for firms that do not currently provide pension coverage to workers. These mandated employer plans (MEP) do not include employer contributions and include automatic enrollment. Investments are made in after-tax dollars and paid out tax free. The following scenarios vary the minimum firm size, the default contribution amount, the assumed share of workers that choose the default investment, whether they include auto escalation, and various other provisions including reenrollment, cash-out restrictions, contribution limits, and investment portfolio limits. </p>

<p>The <strong>RothIRA3</strong> series all assume a 5 percent default contribution rate. </p>

<ul>
<li>Beginning in 2020, mandate Roth IRA plan with automatic enrollment and 5 percent default investment in target-date plan. </li>
<li>Sixty percent of MEP participants take default. </li>
<li>Firms with 10 or more workers. </li>
<li>Apply Roth adjusted gross income limits.</li>
<li>Apply Roth contribution limits.</li>
</ul>"
RothIRA3b,"<h4>RothIRA3b</h4>

<p>The <strong>RothIRA</strong> series all model pension reforms that include an employer mandate for firms that do not currently provide pension coverage to workers. These mandated employer plans (MEP) do not include employer contributions and include automatic enrollment. Investments are made in after-tax dollars and paid out tax free. The following scenarios vary the minimum firm size, the default contribution amount, the assumed share of workers that choose the default investment, whether they include auto escalation, and various other provisions including reenrollment, cash-out restrictions, contribution limits, and investment portfolio limits. </p>

<p>The <strong>RothIRA3</strong> series all assume a 5 percent default contribution rate. </p>

<ul>
<li>Beginning in 2020, mandate Roth IRA plan with automatic enrollment and 5 percent default investment in target-date plan. </li>
<li>Ninety percent of MEP participants take default. </li>
<li>Firms with 10 or more workers. </li>
<li>Apply Roth adjusted gross income limits.</li>
<li>Apply Roth contribution limits.</li>
</ul>"
RothIRA3c,"<h4>RothIRA3c</h4>

<p>The <strong>RothIRA</strong> series all model pension reforms that include an employer mandate for firms that do not currently provide pension coverage to workers. These mandated employer plans (MEP) do not include employer contributions and include automatic enrollment. Investments are made in after-tax dollars and paid out tax free. The following scenarios vary the minimum firm size, the default contribution amount, the assumed share of workers that choose the default investment, whether they include auto escalation, and various other provisions including reenrollment, cash-out restrictions, contribution limits, and investment portfolio limits. </p>

<p>The <strong>RothIRA3</strong> series all assume a 5 percent default contribution rate. </p>

<ul>
<li>Beginning in 2020, mandate Roth IRA plan with automatic enrollment and 5 percent default investment in target-date plan. </li>
<li>Sixty percent of MEP participants take default. </li>
<li>Firms with 1 or more workers. </li>
<li>Apply Roth adjusted gross income limits.</li>
<li>Apply Roth contribution limits.</li>
</ul>"
RothIRA3d,"<h4>RothIRA3d</h4>

<p>The <strong>RothIRA</strong> series all model pension reforms that include an employer mandate for firms that do not currently provide pension coverage to workers. These mandated employer plans (MEP) do not include employer contributions and include automatic enrollment. Investments are made in after-tax dollars and paid out tax free. The following scenarios vary the minimum firm size, the default contribution amount, the assumed share of workers that choose the default investment, whether they include auto escalation, and various other provisions including reenrollment, cash-out restrictions, contribution limits, and investment portfolio limits. </p>

<p>The <strong>RothIRA3</strong> series all assume a 5 percent default contribution rate. </p>

<ul>
<li>Beginning in 2020, mandate Roth IRA plan with automatic enrollment and 6 percent default investment in target-date plan. </li>
<li>Sixty percent of MEP participants take default. </li>
<li>Firms with 25 or more workers. </li>
<li>Apply Roth adjusted gross income limits.</li>
<li>Apply Roth contribution limits.</li>
</ul>"
RothIRA4,"<h4>RothIRA4</h4>

<p>The <strong>RothIRA</strong> series all model pension reforms that include an employer mandate for firms that do not currently provide pension coverage to workers. These mandated employer plans (MEP) do not include employer contributions and include automatic enrollment. Investments are made in after-tax dollars and paid out tax free. The following scenarios vary the minimum firm size, the default contribution amount, the assumed share of workers that choose the default investment, whether they include auto escalation, and various other provisions including reenrollment, cash-out restrictions, contribution limits, and investment portfolio limits. </p>

<p>The <strong>RothIRA4</strong> series all assume a 3 percent default contribution rate that automatically escalates 1 percentage point per year up to 10 percent.</p>

<ul>
<li>Beginning in 2020, mandate Roth IRA plan with automatic enrollment and 3 percent default investment in target-date plan. </li>
<li>Autoescalate to 10 percent.</li>
<li>Sixty percent of MEP participants take default. </li>
<li>Firms with 10 or more workers. </li>
<li>Apply Roth adjusted gross income limits.</li>
<li>Apply Roth contribution limits.</li>
</ul>"
RothIRA4b,"<h4>RothIRA4b</h4>

<p>The <strong>RothIRA</strong> series all model pension reforms that include an employer mandate for firms that do not currently provide pension coverage to workers. These mandated employer plans (MEP) do not include employer contributions and include automatic enrollment. Investments are made in after-tax dollars and paid out tax free. The following scenarios vary the minimum firm size, the default contribution amount, the assumed share of workers that choose the default investment, whether they include auto escalation, and various other provisions including reenrollment, cash-out restrictions, contribution limits, and investment portfolio limits. </p>

<p>The <strong>RothIRA4</strong> series all assume a 3 percent default contribution rate that automatically escalates 1 percentage point per year up to 10 percent.</p>

<ul>
<li>Beginning in 2020, mandate Roth IRA plan with automatic enrollment and 3 percent default investment in target-date plan. </li>
<li>Autoescalate to 10 percent. </li>
<li>Ninety percent of MEP participants take default. </li>
<li>Firms with 10 or more workers. </li>
<li>Apply Roth adjusted gross income limits.</li>
<li>Apply Roth contribution limits.</li>
</ul>"
RothIRA4c,"<h4>RothIRA4c</h4>

<p>The <strong>RothIRA</strong> series all model pension reforms that include an employer mandate for firms that do not currently provide pension coverage to workers. These mandated employer plans (MEP) do not include employer contributions and include automatic enrollment. Investments are made in after-tax dollars and paid out tax free. The following scenarios vary the minimum firm size, the default contribution amount, the assumed share of workers that choose the default investment, whether they include auto escalation, and various other provisions including reenrollment, cash-out restrictions, contribution limits, and investment portfolio limits. </p>

<p>The <strong>RothIRA4</strong> series all assume a 3 percent default contribution rate that automatically escalates 1 percentage point per year up to 10 percent.</p>

<ul>
<li>Beginning in 2020, mandate Roth IRA plan with automatic enrollment and 3 percent default investment in target-date plan. </li>
<li>Autoescalate to 10 percent. </li>
<li>Sixty percent of MEP participants take default. </li>
<li>Firms with 1 or more workers. </li>
<li>Apply Roth adjusted gross income limits.</li>
<li>Apply Roth contribution limits.</li>
</ul>"
RothIRA4d,"<h4>RothIRA4d</h4>

<p>The <strong>RothIRA</strong> series all model pension reforms that include an employer mandate for firms that do not currently provide pension coverage to workers. These mandated employer plans (MEP) do not include employer contributions and include automatic enrollment. Investments are made in after-tax dollars and paid out tax free. The following scenarios vary the minimum firm size, the default contribution amount, the assumed share of workers that choose the default investment, whether they include auto escalation, and various other provisions including reenrollment, cash-out restrictions, contribution limits, and investment portfolio limits. </p>

<p>The <strong>RothIRA4</strong> series all assume a 3 percent default contribution rate that automatically escalates 1 percentage point per year up to 10 percent.</p>

<ul>
<li>Beginning in 2020, mandate Roth IRA plan with automatic enrollment and 3 percent default investment in target-date plan. </li>
<li>Autoescalate to 10 percent. </li>
<li>Ninety percent of MEP participants take default. </li>
<li>Firms with 25 or more workers. </li>
<li>Apply Roth adjusted gross income limits.</li>
<li>Apply Roth contribution limits.</li>
</ul>"
RothIRAHighLimits,"<h4>RothIRAHighLimits</h4>

<p>The <strong>RothIRA</strong> series all model pension reforms that include an employer mandate for firms that do not currently provide pension coverage to workers. These mandated employer plans (MEP) do not include employer contributions and include automatic enrollment. Investments are made in after-tax dollars and paid out tax free. The following scenarios vary the minimum firm size, the default contribution amount, the assumed share of workers that choose the default investment, whether they include auto escalation, and various other provisions including reenrollment, cash-out restrictions, contribution limits, and investment portfolio limits. </p>

<p>The <strong>RothIRAlimit</strong> series all remove the adjusted gross income (adjusted gross income) limit that restricts contributions for tax filers with adjusted gross income above price-adjusted thresholds (phase out between $118,000 and $133,000 for singles and between $186,000 and $196,000 for couples in 2017).</p>

<ul>
<li>Beginning in 2020, mandate Roth IRA plan with automatic enrollment and 3 percent default investment in target-date plan. </li>
<li>Sixty percent of MEP participants take default. </li>
<li>Firms with 10 or more workers.</li>
<li>Apply Roth adjusted gross income limits.</li>
<li>Use 401(k) contribution limits.</li>
</ul>"
RothIRALimit2,"<h4>RothIRALimit2</h4>

<p>The <strong>RothIRA</strong> series all model pension reforms that include an employer mandate for firms that do not currently provide pension coverage to workers. These mandated employer plans (MEP) do not include employer contributions and include automatic enrollment. Investments are made in after-tax dollars and paid out tax free. The following scenarios vary the minimum firm size, the default contribution amount, the assumed share of workers that choose the default investment, whether they include auto escalation, and various other provisions including reenrollment, cash-out restrictions, contribution limits, and investment portfolio limits. </p>

<p>The <strong>RothIRAlimit</strong> series all remove the adjusted gross income (adjusted gross income) limit that restricts contributions for tax filers with adjusted gross income above price-adjusted thresholds (phase out between $118,000 and $133,000 for singles and between $186,000 and $196,000 for couples in 2017).</p>

<ul>
<li>Beginning in 2020, mandate Roth IRA plan with automatic enrollment and 3 percent default investment in target-date plan. </li>
<li>Sixty percent of MEP participants take default. </li>
<li>Firms with 10 or more workers. </li>
<li>No Roth adjusted gross income limits.</li>
<li>Apply Roth contribution limits.</li>
</ul>"
RothIRALimit2b,"<h4>RothIRALimit2b</h4>

<p>The <strong>RothIRA</strong> series all model pension reforms that include an employer mandate for firms that do not currently provide pension coverage to workers. These mandated employer plans (MEP) do not include employer contributions and include automatic enrollment. Investments are made in after-tax dollars and paid out tax free. The following scenarios vary the minimum firm size, the default contribution amount, the assumed share of workers that choose the default investment, whether they include auto escalation, and various other provisions including reenrollment, cash-out restrictions, contribution limits, and investment portfolio limits. </p>

<p>The <strong>RothIRAlimit</strong> series all remove the adjusted gross income (adjusted gross income) limit that restricts contributions for tax filers with adjusted gross income above price-adjusted thresholds (phase out between $118,000 and $133,000 for singles and between $186,000 and $196,000 for couples in 2017).</p>

<ul>
<li>Beginning in 2020, mandate Roth IRA plan with automatic enrollment and 3 percent default investment in target-date plan. </li>
<li>Ninety percent of MEP participants take default. </li>
<li>Firms with 10 or more workers.</li>
<li>No Roth adjusted gross income limits.</li>
<li>Apply Roth contribution limits.</li>
</ul>"
RothIRALimit2c,"<h4>RothIRALimit2c</h4>

<p>The <strong>RothIRA</strong> series all model pension reforms that include an employer mandate for firms that do not currently provide pension coverage to workers. These mandated employer plans (MEP) do not include employer contributions and include automatic enrollment. Investments are made in after-tax dollars and paid out tax free. The following scenarios vary the minimum firm size, the default contribution amount, the assumed share of workers that choose the default investment, whether they include auto escalation, and various other provisions including reenrollment, cash-out restrictions, contribution limits, and investment portfolio limits. </p>

<p>The <strong>RothIRAlimit</strong> series all remove the adjusted gross income (adjusted gross income) limit that restricts contributions for tax filers with adjusted gross income above price-adjusted thresholds (phase out between $118,000 and $133,000 for singles and between $186,000 and $196,000 for couples in 2017).</p>

<ul>
<li>Beginning in 2020, mandate Roth IRA plan with automatic enrollment and 3 percent default investment in target-date plan. </li>
<li>Sixty percent of MEP participants take default. </li>
<li>Firms with 1 or more workers. </li>
<li>No Roth adjusted gross income limit.</li>
<li>Apply Roth contribution limits.</li>
</ul>"
RothIRALimit2d,"<h4>RothIRALimit2d</h4>

<p>The <strong>RothIRA</strong> series all model pension reforms that include an employer mandate for firms that do not currently provide pension coverage to workers. These mandated employer plans (MEP) do not include employer contributions and include automatic enrollment. Investments are made in after-tax dollars and paid out tax free. The following scenarios vary the minimum firm size, the default contribution amount, the assumed share of workers that choose the default investment, whether they include auto escalation, and various other provisions including reenrollment, cash-out restrictions, contribution limits, and investment portfolio limits. </p>

<p>The <strong>RothIRAlimit</strong> series all remove the adjusted gross income (adjusted gross income) limit that restricts contributions for tax filers with adjusted gross income above price-adjusted thresholds (phase out between $118,000 and $133,000 for singles and between $186,000 and $196,000 for couples in 2017).</p>

<ul>
<li>Beginning in 2020, mandate Roth IRA plan with automatic enrollment and 3 percent default investment in target-date plan. </li>
<li>Sixty percent of MEP participants take default. </li>
<li>Firms with 25 or more workers. </li>
<li>No Roth adjusted gross income limits.</li>
<li>Apply Roth contribution limits.</li>
</ul>"
RothIRALimit2e,"<h4>RothIRALimit2e</h4>

<p>The <strong>RothIRA</strong> series all model pension reforms that include an employer mandate for firms that do not currently provide pension coverage to workers. These mandated employer plans (MEP) do not include employer contributions and include automatic enrollment. Investments are made in after-tax dollars and paid out tax free. The following scenarios vary the minimum firm size, the default contribution amount, the assumed share of workers that choose the default investment, whether they include auto escalation, and various other provisions including reenrollment, cash-out restrictions, contribution limits, and investment portfolio limits. </p>

<p>The <strong>RothIRAlimit</strong> series all remove the adjusted gross income (adjusted gross income) limit that restricts contributions for tax filers with adjusted gross income above price-adjusted thresholds (phase out between $118,000 and $133,000 for singles and between $186,000 and $196,000 for couples in 2017).</p>

<ul>
<li>Beginning in 2020, mandate Roth IRA plan with automatic enrollment and 3 percent default investment in target-date plan. </li>
<li>Ninety percent of MEP participants take default. </li>
<li>Firms with 25 or more workers. </li>
<li>No adjusted gross income limits.</li>
<li>Apply Roth contribution limits.</li>
</ul>"
RothIRALimit3,"<h4>RothIRALimit3</h4>

<p>The <strong>RothIRA</strong> series all model pension reforms that include an employer mandate for firms that do not currently provide pension coverage to workers. These mandated employer plans (MEP) do not include employer contributions and include automatic enrollment. Investments are made in after-tax dollars and paid out tax free. The following scenarios vary the minimum firm size, the default contribution amount, the assumed share of workers that choose the default investment, whether they include auto escalation, and various other provisions including reenrollment, cash-out restrictions, contribution limits, and investment portfolio limits. </p>

<p>The <strong>RothIRAlimit</strong> series all remove the adjusted gross income (adjusted gross income) limit that restricts contributions for tax filers with adjusted gross income above price-adjusted thresholds (phase out between $118,000 and $133,000 for singles and between $186,000 and $196,000 for couples in 2017).</p>

<ul>
<li>Beginning in 2020, mandate Roth IRA plan with automatic enrollment and 5 percent default investment in target-date plan. </li>
<li>Sixty percent of MEP participants take default. </li>
<li>Firms with 10 or more workers. </li>
<li>No Roth adjusted gross income limits.</li>
<li>Apply Roth contribution limits.</li>
</ul>"
RothIRALimit3b,"<h4>RothIRALimit3b</h4>

<p>The <strong>RothIRA</strong> series all model pension reforms that include an employer mandate for firms that do not currently provide pension coverage to workers. These mandated employer plans (MEP) do not include employer contributions and include automatic enrollment. Investments are made in after-tax dollars and paid out tax free. The following scenarios vary the minimum firm size, the default contribution amount, the assumed share of workers that choose the default investment, whether they include auto escalation, and various other provisions including reenrollment, cash-out restrictions, contribution limits, and investment portfolio limits. </p>

<p>The <strong>RothIRAlimit</strong> series all remove the adjusted gross income (adjusted gross income) limit that restricts contributions for tax filers with adjusted gross income above price-adjusted thresholds (phase out between $118,000 and $133,000 for singles and between $186,000 and $196,000 for couples in 2017).</p>

<ul>
<li>Beginning in 2020, mandate Roth IRA plan with automatic enrollment and 5 percent default investment in target-date plan. </li>
<li>Ninety percent of MEP participants take default. </li>
<li>Firms with 10 or more workers.  </li>
<li>No Roth adjusted gross income limits.</li>
<li>Apply Roth contribution limits.</li>
</ul>"
RothIRALimit4,"<h4>RothIRALimit4</h4>

<p>The <strong>RothIRA</strong> series all model pension reforms that include an employer mandate for firms that do not currently provide pension coverage to workers. These mandated employer plans (MEP) do not include employer contributions and include automatic enrollment. Investments are made in after-tax dollars and paid out tax free. The following scenarios vary the minimum firm size, the default contribution amount, the assumed share of workers that choose the default investment, whether they include auto escalation, and various other provisions including reenrollment, cash-out restrictions, contribution limits, and investment portfolio limits. </p>

<p>The <strong>RothIRAlimit</strong> series all remove the adjusted gross income (adjusted gross income) limit that restricts contributions for tax filers with adjusted gross income above price-adjusted thresholds (phase out between $118,000 and $133,000 for singles and between $186,000 and $196,000 for couples in 2017).</p>

<ul>
<li>Beginning in 2020, mandate Roth IRA plan with automatic enrollment and 3 percent default investment in target-date plan escalate to 10 percent. </li>
<li>Sixty percent of MEP participants take default. </li>
<li>Firm with 10 or more workers.  </li>
<li>No Roth adjusted gross income limits.</li>
<li>Apply Roth contribution limits.</li>
</ul>"
SAVEopt2,"<h4>SAVEopt2</h4>

<p>The <strong>SaveOpt</strong> series model employer mandates that use 401(k) plan parameters instead of Roth IRA parameters. These include 401(k) contribution limits and no adjusted gross income (adjusted gross income) eligibility limits. Contributions are made in pre-tax dollars and taxable at withdrawal.</p>

<ul>
<li>Beginning in 2020, mandate Roth 401(k) plan with automatic enrollment and 3 percent default investment in target-date plan.</li>
<li>Sixty percent of mandated employer plan participants take default.</li>
<li>Firms with 1 or more workers.</li>
<li>No adjusted gross income limits.</li>
</ul>"
